in update mr1: q=0.21, mr0=0.91, mult0=0.07, mr1=0.0740, mult1=0.0156, spec_accs_cnt=28059, reg_accs_cnt=9000
in update mr0: q=0.21, mr0=0.92, mult0=0.06, mr1=0.0740, mult1=0.0156, spec_accs_cnt=29000, reg_accs_cnt=9229
in update mr0: q=0.20, mr0=0.93, mult0=0.06, mr1=0.0740, mult1=0.0146, spec_accs_cnt=30000, reg_accs_cnt=9469
in update mr0: q=0.20, mr0=0.94, mult0=0.05, mr1=0.0740, mult1=0.0148, spec_accs_cnt=31000, reg_accs_cnt=9713
in update mr1: q=0.20, mr0=0.94, mult0=0.05, mr1=0.1155, mult1=0.0228, spec_accs_cnt=31785, reg_accs_cnt=10000
calling from mr1
advertising
in update mr0: q=0.22, mr0=0.96, mult0=0.03, mr1=0.0010, mult1=0.0002, spec_accs_cnt=1000, reg_accs_cnt=543
in update mr1: q=0.23, mr0=0.96, mult0=0.03, mr1=0.0015, mult1=0.0003, spec_accs_cnt=1983, reg_accs_cnt=1000
in update mr0: q=0.23, mr0=0.96, mult0=0.03, mr1=0.0015, mult1=0.0003, spec_accs_cnt=2000, reg_accs_cnt=1013
in update mr0: q=0.24, mr0=0.97, mult0=0.03, mr1=0.0015, mult1=0.0004, spec_accs_cnt=3000, reg_accs_cnt=1526
in update mr0: q=0.24, mr0=0.96, mult0=0.03, mr1=0.0015, mult1=0.0004, spec_accs_cnt=4000, reg_accs_cnt=1941
in update mr1: q=0.24, mr0=0.96, mult0=0.03, mr1=0.0061, mult1=0.0015, spec_accs_cnt=4161, reg_accs_cnt=2000
in update mr0: q=0.24, mr0=0.97, mult0=0.02, mr1=0.0061, mult1=0.0014, spec_accs_cnt=5000, reg_accs_cnt=2391
in update mr0: q=0.25, mr0=0.97, mult0=0.03, mr1=0.0061, mult1=0.0015, spec_accs_cnt=6000, reg_accs_cnt=2993
in update mr1: q=0.25, mr0=0.97, mult0=0.03, mr1=0.0086, mult1=0.0022, spec_accs_cnt=6017, reg_accs_cnt=3000
in update mr0: q=0.25, mr0=0.96, mult0=0.03, mr1=0.0086, mult1=0.0021, spec_accs_cnt=7000, reg_accs_cnt=3492
in update mr0: q=0.25, mr0=0.96, mult0=0.03, mr1=0.0086, mult1=0.0022, spec_accs_cnt=8000, reg_accs_cnt=3957
in update mr1: q=0.25, mr0=0.96, mult0=0.03, mr1=0.0159, mult1=0.0040, spec_accs_cnt=8221, reg_accs_cnt=4000
in update mr0: q=0.24, mr0=0.96, mult0=0.03, mr1=0.0159, mult1=0.0038, spec_accs_cnt=9000, reg_accs_cnt=4328
in update mr0: q=0.22, mr0=0.95, mult0=0.04, mr1=0.0159, mult1=0.0034, spec_accs_cnt=10000, reg_accs_cnt=4628
in update mr1: q=0.23, mr0=0.95, mult0=0.04, mr1=0.0205, mult1=0.0046, spec_accs_cnt=10842, reg_accs_cnt=5000
in update mr0: q=0.23, mr0=0.94, mult0=0.05, mr1=0.0205, mult1=0.0046, spec_accs_cnt=11000, reg_accs_cnt=5046
in update mr0: q=0.23, mr0=0.93, mult0=0.05, mr1=0.0205, mult1=0.0046, spec_accs_cnt=12000, reg_accs_cnt=5476
in update mr0: q=0.23, mr0=0.92, mult0=0.06, mr1=0.0205, mult1=0.0046, spec_accs_cnt=13000, reg_accs_cnt=5882
in update mr1: q=0.23, mr0=0.92, mult0=0.06, mr1=0.0231, mult1=0.0052, spec_accs_cnt=13391, reg_accs_cnt=6000
in update mr0: q=0.22, mr0=0.93, mult0=0.06, mr1=0.0231, mult1=0.0051, spec_accs_cnt=14000, reg_accs_cnt=6293
in update mr0: q=0.23, mr0=0.93, mult0=0.06, mr1=0.0231, mult1=0.0052, spec_accs_cnt=15000, reg_accs_cnt=6676
in update mr1: q=0.21, mr0=0.93, mult0=0.06, mr1=0.0273, mult1=0.0058, spec_accs_cnt=15966, reg_accs_cnt=7000
in update mr0: q=0.21, mr0=0.92, mult0=0.06, mr1=0.0273, mult1=0.0058, spec_accs_cnt=16000, reg_accs_cnt=7026
in update mr0: q=0.22, mr0=0.92, mult0=0.06, mr1=0.0273, mult1=0.0060, spec_accs_cnt=17000, reg_accs_cnt=7417
